1887.000,3.470
1964.000,3.490
1787.000,3.280
1966.000,3.380
1931.000,3.580
1872.000,3.170
1865.000,3.370
1861.000,3.580
1850.000,3.010
1975.000,3.600
1775.000,3.070
1956.000,3.400
1953.000,3.470
2020.000,3.280
1832.000,3.520
1670.000,2.910
1850.000,3.520
1832.000,3.520
1849.000,3.310
1755.000,3.170
1979.000,3.410
1880.000,3.290
1764.000,3.000
1934.000,3.540
1821.000,3.280
1786.000,3.190
1987.000,3.730
1826.000,3.280
1893.000,3.500
1712.000,3.080
1974.000,3.240
1685.000,2.740
1674.000,3.170
1777.000,3.370
1792.000,3.010
1843.000,3.710
1764.000,3.000
1893.000,3.510
1808.000,3.320
1808.000,3.490
1730.000,3.470
1778.000,3.590
1879.000,3.440
1702.000,3.390
1802.000,3.410
1934.000,3.540
1824.000,3.400
1861.000,3.580
1808.000,3.490
1931.000,3.580
1936.000,3.710
1850.000,3.380
1781.000,3.470
1857.000,3.410
1933.000,3.590
1953.000,3.470
2015.000,3.620
1775.000,3.290
1850.000,3.520
1891.000,3.480
2041.000,3.510
1730.000,3.470
1954.000,3.340
1794.000,3.280
1664.000,2.520
1907.000,3.420
1722.000,3.190
1760.000,2.540
1687.000,3.210
1891.000,3.480
2041.000,3.510
2021.000,3.610
1781.000,3.470
1962.000,3.760
1761.000,3.190
1964.000,3.490
1778.000,3.590
1773.000,3.120
1893.000,3.510
1855.000,3.420
